"target_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","target_id.1","ens_gene","ext_gene","significant"
"ENSMUST00000299675.1",3.90920465009524,0.389108173314419,3.73522013409338,0.00473872067023103,0.0352055825573561,-2.09165902078875,"ENSMUST00000299675.1",NA,NA,"Higher in 4x"
"ENSMUST00000043414.12",3.2762674636509,1.61882650997369,3.50175409914249,0.00680444012478497,0.0427512333203097,-2.09241164232812,"ENSMUST00000043414.12","ENSMUSG00000036661","Dennd3","Higher in 4x"
"ENSMUST00000137980.3",6.66745115351297,-0.276165249922118,3.98591141611899,0.00323857935886318,0.0285554556571306,-2.09246029814791,"ENSMUST00000137980.3","ENSMUSG00000032604","Qars","Higher in 4x"
"ENSMUST00000343864.1",-3.57657087563947,-0.249194113340676,-4.0296249167213,0.00303326368398072,0.0275825427337281,-2.09248834742305,"ENSMUST00000343864.1",NA,NA,"Higher in WT"
"ENSMUST00000167317.8",-7.26984553121642,-0.0518299689183762,-3.96862236610557,0.00332381029116657,0.0289340615773349,-2.09320998796503,"ENSMUST00000167317.8","ENSMUSG00000026358","Rgs1","Higher in WT"
"ENSMUST00000040468.16",5.2399110337403,1.8841980032198,3.63719842645241,0.00551155286937681,0.0382661250528502,-2.09473053087425,"ENSMUST00000040468.16","ENSMUSG00000038225","Primpol","Higher in 4x"
"ENSMUST00000124385.2",8.60545683917063,1.01827819403363,4.01985441320591,0.00307792359131151,0.0278029383495818,-2.09512323025298,"ENSMUST00000124385.2","ENSMUSG00000047126","Cltc","Higher in 4x"
"ENSMUST00000108050.2",4.41513589972183,-0.502681945417995,3.94395118727869,0.00344957779917942,0.0295597515370955,-2.0956141955402,"ENSMUST00000108050.2","ENSMUSG00000028439","Fam219a","Higher in 4x"
"ENSMUST00000128962.2",4.57915265571916,0.220279119695206,3.90476123620723,0.00365984133137019,0.0305912216145082,-2.09591313296623,"ENSMUST00000128962.2","ENSMUSG00000068744","Psrc1","Higher in 4x"
"ENSMUST00000237121.2",3.88346213090433,-0.275773030893971,3.91261478957168,0.00361664184667522,0.0303277875116621,-2.09643958374706,"ENSMUST00000237121.2","ENSMUSG00000025068","Gsto1","Higher in 4x"
"ENSMUST00000028838.5",-3.81671508237925,-0.378984421430244,-4.31926661801087,0.00197876703218559,0.0220825601112197,-2.09668846727834,"ENSMUST00000028838.5","ENSMUSG00000027360","Hdc","Higher in WT"
"ENSMUST00000156620.2",3.81871789206078,-0.319372882871657,3.80317019934499,0.00427065047913734,0.0333539236728092,-2.0999565027707,"ENSMUST00000156620.2","ENSMUSG00000036246","Gmip","Higher in 4x"
